248,ROSE,KENT,1,0,0,0,0,0,,ROSE KENT,

249,BETH,KEPHART,1,0,0,0,0,0,,BETH KEPHART,

250,M E,KERR,0,0,0,0,0,1,,M E KERR,

251,ADIB,KHORRAM,0,1,0,0,0,1,,ADIB KHORRAM,

252,BRENDAN,KIELY,1,0,0,0,0,0,,BRENDAN KIELY,

253,JEANIA,KIMBROUGH,1,0,0,0,0,0,,JEANIA KIMBROUGH,

254,A S,KING,1,0,0,0,0,0,,A S KING,

255,JEN,KLEIN,1,0,0,0,0,0,,JEN KLEIN,

256,LISA,KLEIN,1,0,0,0,0,0,,LISA KLEIN,

257,BILL,KONIGSBERG,0,0,0,0,0,1,,BILL KONIGSBERG,

258,ALETHEA,KONTIS,1,0,0,0,0,0,,ALETHEA KONTIS,

259,NAOMI,KRITZER,1,0,0,0,0,0,,NAOMI KRITZER,

260,MARCIA CHAMBERS,KRUCHTEN,1,0,0,0,0,0,,MARCIA CHAMBERS KRUCHTEN,

261,STEPHANIE,KUEHN,0,0,0,0,0,0,,STEPHANIE KUEHN,

262,AMBELIN,KWAYMULLINA,0,1,0,0,0,0,,AMBELIN KWAYMULLINA,

263,EZEKIEL,KWAYMULLINA,0,1,0,0,0,0,,EZEKIEL KWAYMULLINA,

264,JEAN,KWOK,0,1,1,0,0,0,,JEAN KWOK,

265,TANYA LLOYD,KYI,1,0,0,0,0,0,,TANYA LLOYD KYI,

266,NINA,LACOUR,0,1,0,0,0,1,,NINA LACOUR,

267,ROBIN,LAFEVERS,1,0,0,0,0,0,,ROBIN LAFEVERS,

268,THANHHA,LAI,0,1,1,0,0,0,,THANHHA LAI,

269,NICK,LAKE,1,0,0,0,0,0,,NICK LAKE,

270,UNA,LAMARCHE,1,0,0,0,0,0,,UNA LAMARCHE,

271,EVELYN SIBLEY,LAMPMAN,1,0,0,0,0,0,,EVELYN SIBLEY LAMPMAN,

272,MELISSA,LANDERS,1,0,0,0,0,0,,MELISSA LANDERS,

273,ERIN JADE,LANGE,1,0,0,0,0,0,,ERIN JADE LANGE,

274,JENNIFER,LATHAM,1,0,0,0,0,0,,JENNIFER LATHAM,

275,VICTORIA,LAURIE,1,0,0,0,0,0,,VICTORIA LAURIE,

276,EMMY,LAYBOURNE,1,0,0,0,0,0,,EMMY LAYBOURNE,

277,URSULA K,LE GUIN,1,0,0,0,0,0,,URSULA K LE GUIN,

278,JAMES,LECESNE,0,0,0,0,0,1,,JAMES LECESNE,3

279,MACKENZI,LEE,0,0,0,0,0,1,,MACKENZI LEE,

280,STACEY,LEE,0,0,0,0,0,0,,STACEY LEE,

281,SARAH NICOLE,LEMON,1,0,0,0,0,0,,SARAH NICOLE LEMON,

282,MADELEINE,LENGLE,1,0,0,0,0,0,,MADELEINE LENGLE,

283,MADELINE,LENGLE,0,0,0,0,0,0,,MADELINE LENGLE,

284,BETTY,LEVIN,0,0,0,0,0,0,,BETTY LEVIN,

285,APRIL,LINDNER,1,0,0,0,0,0,,APRIL LINDNER,

286,DARCIE,LITTLE BADGER,0,1,0,0,0,1,,DARCIE LITTLE BADGER,

287,MALINDA,LO,0,1,0,0,0,1,,MALINDA LO,

288,E,LOCKHART,1,0,0,0,0,0,,E LOCKHART,

289,EMERY,LORD,1,0,0,0,0,0,,EMERY LORD,

290,PITTACUS,LORE,1,0,0,0,0,0,,PITTACUS LORE,

291,KATY,LOUTZENHISER,1,0,0,0,0,0,,KATY LOUTZENHISER,

292,LOIS,LOWRY,1,0,0,0,0,0,,LOIS LOWRY,

293,MARIE,LU,0,0,1,0,0,0,,MARIE LU,

294,BARRY,LYGA,1,0,0,0,0,0,,BARRY LYGA,

295,JENNIFER H,LYNE,1,0,0,0,0,0,,JENNIFER H LYNE,

296,SARAH,LYU,0,0,0,0,0,1,,SARAH LYU,

297,SARAH J,MAAS,1,0,0,0,0,0,,SARAH J MAAS,

298,CARRIE,MAC,0,0,0,0,0,1,,CARRIE MAC,

299,TAHEREH,MAFI,0,1,0,0,0,0,,TAHEREH MAFI,

300,GREGORY,MAGUIRE,0,0,0,0,0,1,,GREGORY MAGUIRE,

301,MELINA,MARCHETTA,1,0,0,0,0,0,,MELINA MARCHETTA,

302,MELISSA,MARR,1,0,0,0,0,0,,MELISSA MARR,

303,ZOE,MARRIOTT,1,0,0,0,0,0,,ZOE MARRIOTT,

304,KATHERINE,MARSH,1,0,0,0,0,0,,KATHERINE MARSH,

305,JESSICA,MARTINEZ,1,0,0,0,0,0,,JESSICA MARTINEZ,

306,JENNIFER,MASON BLACK,1,0,0,0,0,0,,JENNIFER MASON BLACK,

307,TARAN,MATHARU,0,0,0,0,0,0,,TARAN MATHARU,

308,HARRY,MAZER,1,0,0,0,0,0,,HARRY MAZER,

309,HARRY,LERANGIS,1,0,0,0,0,0,,HARRY LERANGIS,

310,LISH,MCBRIDE,1,0,0,0,0,0,,LISH MCBRIDE,

311,MEGAN,MCCAFFERTY,1,0,0,0,0,0,,MEGAN MCCAFFERTY,

312,GUADALUPE GARCIA,MCCALL,0,1,1,0,0,0,,GUADALUPE GARCIA MCCALL,

313,CORY,MCCARTHY,0,0,0,0,0,0,,CORY MCCARTHY,3

314,GERALDINE,MCCAUGHREAN,1,0,0,0,0,0,,GERALDINE MCCAUGHREAN,

315,PATRICIA,MCCORMICK,1,0,0,0,0,0,,PATRICIA MCCORMICK,

316,MARY,MCCOY,1,0,0,0,0,0,,MARY MCCOY,

317,JOY,MCCULLOUGH,1,0,0,0,0,0,,JOY MCCULLOUGH,

318,GREGORY,MCDONALD,1,0,0,0,0,0,,GREGORY MCDONALD,

319,NICK,MCDONELL,1,0,0,0,0,0,,NICK MCDONELL,

320,MINDY,MCGINNIS,1,0,0,0,0,0,,MINDY MCGINNIS,

321,SARAH,MCGUIRE,1,0,0,0,0,0,,SARAH MCGUIRE,

322,ANNA MARIE,MCLEMORE,0,0,0,0,0,1,,ANNA MARIE MCLEMORE,3

323,LISA,MCMANN,1,0,0,0,0,0,,LISA MCMANN,

324,KAREN M,MCMANUS,1,0,0,0,0,0,,KAREN M MCMANUS,

325,GRAHAM,MCNAMEE,1,0,0,0,0,0,,GRAHAM MCNAMEE,

326,TOM,MCNEAL,1,0,0,0,0,0,,TOM MCNEAL,

327,GRETCHEN,MCNEIL,1,0,0,0,0,0,,GRETCHEN MCNEIL,

328,RICHELLE,MEAD,1,0,0,0,0,0,,RICHELLE MEAD,

329,MEG,MEDINA,0,1,0,0,0,0,,MEG MEDINA,

330,O R,MELLING,1,0,1,0,0,0,,O R MELLING,

331,SANDHYA,MENON,0,1,1,0,0,0,,SANDHYA MENON,

332,ROLAND,MERULLO,1,0,0,0,0,0,,ROLAND MERULLO,

333,CAROLYN,MEYER,1,0,0,0,0,0,,CAROLYN MEYER,

334,JOANNA RUTH,MEYER,1,0,0,0,0,0,,JOANNA RUTH MEYER,

335,L A,MEYER,1,0,0,0,0,0,,L A MEYER,

336,MARISSA,MEYER,1,0,0,0,0,0,,MARISSA MEYER,

337,STEPHENIE,MEYER,1,0,0,0,0,0,,STEPHENIE MEYER,

338,RUNE,MICHAELS,1,0,0,0,0,0,,RUNE MICHAELS,

339,CHINA,MIEVILLE,1,0,0,0,0,0,,CHINA MIEVILLE,

340,ALEXANDRA,MONIR,0,1,0,0,0,0,,ALEXANDRA MONIR,

341,L M,MONTGOMERY,1,0,0,0,0,0,,L M MONTGOMERY,

342,SARAH,MOON,0,0,0,0,0,1,,SARAH MOON,

343,PETER,MOORE,1,0,0,0,0,0,,PETER MOORE,

